,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
8,domaine-viret,Domaine Viret,Dolía 1 Le Paradis Rouge,2011,3.9,Vin de France,vin-de-pays-vignobles-de-france,
9,ferraton-pere-fils,Ferraton Père & Fils,Côte-Rôtie L'Eglantine,2016,4.3,Côte-Rôtie,cote-rotie,rhone
10,champagne-henri-giraud,Henri Giraud,Argonne Brut Champagne Grand Cru 'Aÿ',2008,4.7,Champagne Grand Cru 'Aÿ',champagne-grand-cru-ay,champagne
11,roc-meynard,Château Roc Meynard,Bordeaux Blanc Sec,2016,3.7,Bordeaux,bordeaux,bordeaux
12,philippe-hermouet,Clos du Roy,Fronsac,2014,3.7,Fronsac,fronsac,bordeaux
13,m-chapoutier,M. Chapoutier,Saint-Péray Lieu-dit Hongrie,2016,3.9,Saint-Péray,saint-peray,saint-peray
14,bruno-paillard,Bruno Paillard,N.P.U Brut Champagne (Nec Plus Ultra),2004,4.3,Champagne,champagne,champagne
15,jouvente,Château Jouvente,Graves Rouge,2016,4.2,Graves,graves,bordeaux
16,ermitage-du-pic-st-loup,Ermitage du Pic Saint Loup,Guilhem Gaucelm,2016,4.2,Pic-Saint-Loup,pic-saint-loup,languedoc-roussillon
17,le-vieux-donjon,Le Vieux Donjon,Châteauneuf-du-Pape Blanc,2017,3.9,Châteauneuf-du-Pape,chateauneuf-du-pape,rhone
18,domaine-coche-dury,Domaine Coche-Dury,Meursault Blanc,2011,4.6,Meursault,meursault,cote-de-beaune
19,domaine-marc-morey-and-fils,Morey-Coffinet,Chassagne Montrachet,2017,4.2,Chassagne-Montrachet,chassagne-montrachet,cote-de-beaune
20,louis-cheze,Louis Chèze,Caroline Saint-Joseph (Cuvée Prestige),2015,3.9,Saint-Joseph,saint-joseph,saint-joseph
21,chateau-la-providence,Château La Providence,Pomerol,2009,4.5,Pomerol,pomerol,bordeaux
22,fargues,Château de Fargues,Sauternes (Lur Saluces),2008,4.3,Sauternes,sauternes,bordeaux
23,domaine-hubert-lamy,Hubert Lamy,Saint-Aubin 1er Cru 'En Remilly',2015,4.3,Saint-Aubin 1er Cru 'En Remilly',saint-aubin-en-remilly,cote-de-beaune
24,thierry-massin,Thierry Massin,Sélection Brut Champagne,N.V.,3.6,Champagne,champagne,champagne
0,chateau-massot,Chateau Massot,Bordeaux,2015,3.2,Bordeaux,bordeaux,bordeaux
1,michel-stephane-ogier,Michel & Stéphane Ogier,Le Passage Saint-Joseph,2017,4.0,Saint-Joseph,saint-joseph,saint-joseph
2,le-clos-des-fees,Domaine du Clos des Fées,Vieilles Vignes Côtes du Roussillon Villages,2016,4.0,Côtes du Roussillon Villages,cotes-du-roussillon-villages,languedoc-roussillon
3,hugel,Hugel,Estate Gewürztraminer,2013,4.0,Alsace Grand Cru,alsace-grand-cru,alsace
4,piedlong,Piedlong,Châteauneuf-du-Pape,2016,4.2,Châteauneuf-du-Pape,chateauneuf-du-pape,chateauneuf-du-pape
5,mas-del-perie-fabien-jouves,Mas del Périé - Fabien Jouves,Amphore,2017,3.7,Cahors,cahors,cotes-du-roussillon
6,hugel,Hugel,Riesling Vendange Tardive,2011,4.0,Alsace,alsace,alsace
7,chateau-de-chantegrive,Château de Chantegrive,Caroline Graves,2017,3.8,Graves,graves,bordeaux
8,domaine-hubert-lamy,Hubert Lamy,Vieilles Vignes Saint-Aubin 1er Cru 'Clos de la Chatenière',2015,4.2,Saint-Aubin 1er Cru 'La Chatenière',saint-aubin-la-chateniere,cote-de-beaune
9,domaine-hubert-lamy,Hubert Lamy,Saint-Aubin 1er Cru 'Derrière Chez Edouard' Blanc,2015,4.1,Saint-Aubin 1er Cru 'Derrière chez Edouard',saint-aubin-derriere-chez-edouard,cote-de-beaune
10,la-pousse-d-or,La Pousse d'Or,Volnay 1er Cru 'Clos des 60 Ouvrées' (Monopole),2015,4.1,Volnay 1er Cru 'Clos des 60 Ouvrées',volnay-clos-des-60-ouvrees,cote-de-beaune
11,la-pousse-d-or,La Pousse d'Or,Corton Les Bressandes Grand Cru,2008,4.1,Corton Grand Cru 'Les Bressandes',corton-les-bressandes,cote-de-beaune
12,comte-armand,Comte Armand,Auxey-Duresses Rouge,2013,3.6,Auxey-Duresses,auxey-duresses,cote-de-beaune
13,lamothe-bergeron,Château Lamothe-Bergeron,Haut-Médoc,2009,3.7,Haut-Médoc,haut-medoc,bordeaux
14,jean-noel-haton-champagne-brut-reserve,Jean-Noel Haton,Extra Brut Champagne,N.V.,4.1,Champagne,champagne,champagne
15,faiveley,Faiveley,Gevrey-Chambertin Les Marchais,2010,4.0,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
16,faiveley,Faiveley,Gevrey-Chambertin Les Marchais,2012,3.9,Gevrey-Chambertin,gevrey-chambertin,cote-de-nuits
