,vintage.wine.winery.seo_name,vintage.wine.winery.name,vintage.wine.name,vintage.year,vintage.statistics.ratings_average,vintage.wine.region.name,vintage.wine.region.seo_name,vintage.wine.style.region.seo_name
2,chateau-malescot-st-exupery,Château Malescot St. Exupery,Margaux (Grand Cru Classé),2002,4.2,Margaux,margaux,bordeaux
3,lascombes,Château Lascombes,Margaux (Grand Cru Classé),2003,4.3,Margaux,margaux,bordeaux
4,fr-chateau-latour,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),2006,4.6,Pauillac,pauillac,bordeaux
5,fr-chateau-latour,Château Latour,Grand Vin Pauillac (Premier Grand Cru Classé),2002,4.6,Pauillac,pauillac,bordeaux
6,chateau-phelan-segur,Château Phélan Ségur,Frank Phélan Saint-Estèphe,2013,3.7,Saint-Estèphe,saint-estephe,bordeaux
7,haut-brion,Château Haut-Brion,Pessac-Léognan (Premier Grand Cru Classé),1970,4.5,Pessac-Léognan,pessac-leognan,bordeaux
8,chateau-haut-marbuzet,Château Haut-Marbuzet,Saint-Estèphe,2015,4.2,Saint-Estèphe,saint-estephe,bordeaux
9,chateau-lanessan,Château Lanessan,Haut-Médoc,2016,3.6,Haut-Médoc,haut-medoc,bordeaux
10,chateau-lanessan,Château Lanessan,Haut-Médoc,2011,3.5,Haut-Médoc,haut-medoc,bordeaux
11,puygueraud,Château Puygueraud,Francs - Côtes de Bordeaux,2013,3.6,Francs - Côtes de Bordeaux,cotes-de-francs,bordeaux
12,langoa-and-leoville-barton,Château Langoa Barton,Saint-Julien (Grand Cru Classé),2008,4.0,Saint-Julien,saint-julien,bordeaux
13,langoa-and-leoville-barton,Château Langoa Barton,Saint-Julien (Grand Cru Classé),2005,4.2,Saint-Julien,saint-julien,bordeaux
14,chateau-leoville-las-cases,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé),2011,4.2,Saint-Julien,saint-julien,bordeaux
15,chateau-leoville-las-cases,Château Léoville Las Cases,Saint-Julien (Grand Cru Classé),2003,4.4,Saint-Julien,saint-julien,bordeaux
16,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2015,4.1,Pomerol,pomerol,bordeaux
17,chateau-latour-a-pomerol,Château Latour à Pomerol,Pomerol,2008,4.2,Pomerol,pomerol,bordeaux
18,louis-latour,Louis Latour,Meursault-Blagny Premier Cru Château de Blagny,2017,4.1,Meursault 1er Cru 'Blagny',meursault-1er-cru-blagny,cote-de-beaune
19,chateau-leoville-barton,Château Léoville Barton,Saint-Julien (Grand Cru Classé),1999,4.3,Saint-Julien,saint-julien,bordeaux
20,chateau-leoville-barton,Château Léoville Barton,Saint-Julien (Grand Cru Classé),1998,4.2,Saint-Julien,saint-julien,bordeaux
21,delas-freres,Delas,Saint-Esprit Côtes-du-Rhône,2018,3.9,Côtes-du-Rhône,cotes-du-rhone,rhone
22,langoa-and-leoville-barton,Château Langoa Barton,Saint-Julien (Grand Cru Classé),2006,4.0,Saint-Julien,saint-julien,bordeaux
23,larcis-ducasse,Château Larcis Ducasse,Saint-Émilion Grand Cru (Premier Grand Cru Classé),2012,4.3,Saint-Émilion Grand Cru,st-emilion-grand-cru,bordeaux
